# of Solutions,avg. Solution Length,Time (micro-seconds),Median Solution Length, Median Set Value,Sum of Set,Target Value,SpecificSolutionLength,SpecificSolutionMedian,Occurence
0,0.0000,22,0,694,0,0,0,0,
0,0.0000,21,0,678,0,0,0,0,
0,0.0000,22,0,845,0,0,0,0,
0,0.0000,46,0,645,0,0,0,0,
0,0.0000,31,0,365,0,0,0,0,
0,0.0000,29,0,488,0,0,0,0,
0,0.0000,41,0,236,0,0,0,0,
0,0.0000,54,0,332,0,0,0,0,
0,0.0000,39,0,686,0,0,0,0,
0,0.0000,34,0,512,0,0,0,0,
0,0.0000,40,0,422,0,0,0,0,
0,0.0000,9,0,369,0,0,7,729,
0,0.0000,43,0,500,0,0,0,0,
0,0.0000,65,0,274,0,0,0,0,
0,0.0000,51,0,620,0,0,0,0,
0,0.0000,44,0,413,0,0,0,0,
0,0.0000,54,0,598,0,0,0,0,
0,0.0000,54,0,468,0,0,0,0,
0,0.0000,80,0,195,0,0,0,0,
0,0.0000,114,0,348,0,0,0,0,
0,0.0000,80,0,435,0,0,0,0,
0,0.0000,72,0,394,0,0,0,0,
0,0.0000,75,0,286,0,0,0,0,
0,0.0000,108,0,528,0,0,0,0,
0,0.0000,88,0,304,0,0,10,349,
0,0.0000,156,0,728,0,0,0,0,
0,0.0000,154,0,733,0,0,0,0,
0,0.0000,130,0,577,0,0,0,0,
0,0.0000,64,0,409,0,0,10,337,
0,0.0000,196,0,542,0,0,0,0,
0,0.0000,349,0,407,0,0,0,0,
0,0.0000,410,0,341,0,0,0,0,
0,0.0000,258,0,509,0,0,0,0,
0,0.0000,242,0,513,0,0,0,0,
0,0.0000,287,0,383,0,0,0,0,
0,0.0000,272,0,478,0,0,0,0,
0,0.0000,457,0,656,0,0,0,0,
0,0.0000,480,0,315,0,0,0,0,
0,0.0000,61,0,457,0,0,12,276,
0,0.0000,447,0,710,0,0,0,0,
0,0.0000,83,0,311,0,0,12,249,
0,0.0000,513,0,669,0,0,0,0,
